"geocoding"
"548 LEONARD STREET , New York NY"
"101 DIVISION AVENUE , New York NY"
"1112 REMSEN AVENUE , New York NY"
"110 ECKFORD STREET , New York NY"
"1741 CONEY ISLAND AVENUE , New York NY"
"362 12 STREET , New York NY"
"67 TAAFFE PLACE , New York NY"
"77 WOODBINE STREET , New York NY"
"80 4 AVENUE , New York NY"
"845 55 STREET , New York NY"
"1100 HALSEY STREET , New York NY"
"346 AVENUE U , New York NY"
"218 ROCHESTER AVENUE , New York NY"
"1511 STERLING PLACE , New York NY"
"725 HOWARD AVENUE , New York NY"
"234 ROCHESTER AVENUE , New York NY"
"232 ROCHESTER AVENUE , New York NY"
"2020 PACIFIC STREET , New York NY"
"324 HOWARD AVENUE , New York NY"
"2384 NOSTRAND AVENUE , New York NY"
"360 BALTIC STREET , New York NY"
"1 ROCKWELL PLACE , New York NY"
"604 PACIFIC STREET , New York NY"
"511 MEEKER AVENUE , New York NY"
"79 BRIGHTON   11 STREET , New York NY"
"53 STANHOPE STREET , New York NY"
"9 BUSHWICK AVENUE , New York NY"
"532 HENRY STREET , New York NY"
"2260 BENSON AVENUE , New York NY"
"3165 NOSTRAND AVENUE , New York NY"
"1413 HANCOCK STREET , New York NY"
"1142 LENOX ROAD , New York NY"
"334 HOWARD AVENUE , New York NY"
"1468 PARK PLACE , New York NY"
"1484 PARK PLACE , New York NY"
"1448 STERLING PLACE , New York NY"
"1981 53 STREET , New York NY"
"1944 86 STREET , New York NY"
"815 KINGS HIGHWAY , New York NY"
"315 OVINGTON AVENUE , New York NY"
"208 ROCHESTER AVENUE , New York NY"
"1491 ST JOHNS PLACE , New York NY"
"284 NEW YORK AVENUE , New York NY"
"10 SHORE BOULEVARD , New York NY"
"147 LEONARD STREET , New York NY"
"65 NORTH EIGHTH STREET , New York NY"
"1629 PARK PLACE , New York NY"
"6530 4 AVENUE , New York NY"
"2045 UNION STREET , New York NY"
"157 GREENPOINT AVENUE , New York NY"
"645 EAST   26 STREET , New York NY"
"368 AVENUE U , New York NY"
"2065 DEAN STREET , New York NY"
"104 TAPSCOTT STREET , New York NY"
"1634 STERLING PLACE , New York NY"
"263 LIVINGSTON STREET , New York NY"
"231 NORTH HENRY STREET , New York NY"
"15 MACKAY PLACE , New York NY"
"152 MESEROLE AVENUE , New York NY"
"4501 6 AVENUE , New York NY"
"1521 STERLING PLACE , New York NY"
"955 RUTLAND ROAD , New York NY"
"2069 UNION STREET , New York NY"
"2058 UNION STREET , New York NY"
"728 EAST NEW YORK AVENUE , New York NY"
"1615 AVENUE I , New York NY"
"74 JACKSON STREET , New York NY"
"199 SOUTH    1 STREET , New York NY"
"1901 DORCHESTER ROAD , New York NY"
"1426 GREENE AVENUE , New York NY"
"286 UNION AVENUE , New York NY"
"47 FRANKLIN STREET , New York NY"
"57 MONTAGUE STREET , New York NY"
"1730 BEDFORD AVENUE , New York NY"
"200 MIDDLETON STREET , New York NY"
"377 ATLANTIC AVENUE , New York NY"
"933 MANHATTAN AVENUE , New York NY"
"5102 6 AVENUE , New York NY"
"372 WALLABOUT STREET , New York NY"
"5812 4 AVENUE , New York NY"
"2502 CORTELYOU ROAD , New York NY"
"225 NORTH   11 STREET , New York NY"
"36 REMSEN STREET , New York NY"
"811 5 AVENUE , New York NY"
"370 EAST   17 STREET , New York NY"
"1517 ST MARKS AVENUE , New York NY"
"193 13 STREET , New York NY"
"4801 AVENUE D , New York NY"
"33 KEEN COURT , New York NY"
"951 BEDFORD AVENUE , New York NY"
"157 AINSLIE STREET , New York NY"
"1 WILLOW PLACE , New York NY"
"1766 DAHILL ROAD , New York NY"
"81A MALCOLM X BLVD , New York NY"
"5011 CHURCH AVENUE , New York NY"
"2 FLATBUSH AVENUE , New York NY"
"426 53 STREET , New York NY"
"4701 SNYDER AVENUE , New York NY"
"33 4 STREET , New York NY"
"2 3 STREET , New York NY"
"5017 10 AVENUE , New York NY"
"920 EAST   17 STREET , New York NY"
"915 EAST   17 STREET , New York NY"
"1686 EAST   19 STREET , New York NY"
"214 DIVISION AVENUE , New York NY"
"804 ASHFORD STREET , New York NY"
"983 BEDFORD AVENUE , New York NY"
"1147 FULTON STREET , New York NY"
"147 PENN STREET , New York NY"
"168 4 AVENUE , New York NY"
"344 LORIMER STREET , New York NY"
"1667 PITKIN AVENUE , New York NY"
"162 CARLTON AVENUE , New York NY"
"707 HART STREET , New York NY"
"491 COURT STREET , New York NY"
"142 JORALEMON STREET , New York NY"
"397 STATE STREET , New York NY"
"1054 41 STREET , New York NY"
"406 WILLOUGHBY AVENUE , New York NY"
"145 KENILWORTH PLACE , New York NY"
"95 LINDEN BOULEVARD , New York NY"
"1196 BEDFORD AVENUE , New York NY"
"842 ASHFORD STREET , New York NY"
"1188 PRESIDENT STREET , New York NY"
"475 WASHINGTON AVENUE , New York NY"
"2667 FULTON STREET , New York NY"
"536 BAINBRIDGE STREET , New York NY"
"1 HOYT STREET , New York NY"
"525 KENT AVENUE , New York NY"
"535 KENT AVENUE , New York NY"
"580 WYTHE AVENUE , New York NY"
"469 WASHINGTON AVENUE , New York NY"
"1921 AVENUE K , New York NY"
"195 23 STREET , New York NY"
"311 EASTERN PARKWAY , New York NY"
"6818 BAY PARKWAY , New York NY"
"50 4 AVENUE , New York NY"
"557 EAST   21 STREET , New York NY"
"50 FRANKLIN STREET , New York NY"
"176 SEELEY STREET , New York NY"
"71 WAVERLY AVENUE , New York NY"
"6402 14 AVENUE , New York NY"
"8721 BAY PARKWAY , New York NY"
"2605 FARRAGUT ROAD , New York NY"
"5801 8 AVENUE , New York NY"
"85 SCHENECTADY AVENUE , New York NY"
"533 BERGEN STREET , New York NY"
"723 EAST   27 STREET , New York NY"
"395 CARROLL STREET , New York NY"
"75 WAVERLY AVENUE , New York NY"
"68 CLINTON AVENUE , New York NY"
"203 NEWPORT STREET , New York NY"
"46 NEVINS STREET , New York NY"
"10 LEWIS AVENUE , New York NY"
"1025 PACIFIC STREET , New York NY"
"256 ESSEX STREET , New York NY"
"97 SEIGEL STREET , New York NY"
"1652 EAST 14 STREET , New York NY"
"151 WILLOUGHBY AVENUE , New York NY"
"301 STOCKHOLM STREET , New York NY"
"1700 JEROME AVENUE , New York NY"
"57 NORTH    9 STREET , New York NY"
"1505 FULTON STREET , New York NY"
"5818 4 AVENUE , New York NY"
"5822 4 AVENUE , New York NY"
"2920 AVENUE P , New York NY"
"35 HERKIMER PLACE , New York NY"
"864 53 STREET , New York NY"
"45 HARRISON AVENUE , New York NY"
"1807 66 STREET , New York NY"
"227 CLARKSON AVENUE , New York NY"
"144 SOUTH    8 STREET , New York NY"
"200 MADISON STREET , New York NY"
"202 MADISON STREET , New York NY"
"519 SARATOGA AVENUE , New York NY"
"517 SARATOGA AVENUE , New York NY"
"1019 HANCOCK STREET , New York NY"
"3601 SURF AVENUE , New York NY"
"161 CORBIN PLACE , New York NY"
"1505 FULTON STREET , New York NY"
"125 BRIGHTON   11 STREET , New York NY"
"140 SCHAEFER STREET , New York NY"
"236 KANE STREET , New York NY"
"94 MACON STREET , New York NY"
"6202 14 AVENUE , New York NY"
"160 JOHN STREET , New York NY"
"349 METROPOLITAN AVENUE , New York NY"
"1522 57 STREET , New York NY"
"195 HUMBOLDT STREET , New York NY"
"56 QUINCY STREET , New York NY"
"668 WARREN STREET , New York NY"
"2931 WEST   23 STREET , New York NY"
"1889 ATLANTIC AVENUE , New York NY"
"1612 59 STREET , New York NY"
"211 BRIGHTON   15 STREET , New York NY"
"1511 BRIGHTWATER AVENUE , New York NY"
"1521 BRIGHTWATER AVENUE , New York NY"
"560 CARROLL STREET , New York NY"
"1680 77 STREET , New York NY"
"920 72 STREET , New York NY"
"456 SCHENECTADY AVENUE , New York NY"
"90 HERBERT STREET , New York NY"
"99 GOLD STREET , New York NY"
"2770 OCEAN AVENUE , New York NY"
"9223 3 AVENUE , New York NY"
"2630 OCEAN AVENUE , New York NY"
"2558 LINDEN BOULEVARD , New York NY"
"278 GATES AVENUE , New York NY"
"2948 BRIGHTON    4 STREET , New York NY"
"74 DIAMOND STREET , New York NY"
"113 CLINTON AVENUE , New York NY"
"2235 CONEY ISLAND AVENUE , New York NY"
"589 METROPOLITAN AVENUE , New York NY"
"354 14 STREET , New York NY"
"1336 DEKALB AVENUE , New York NY"
"50 SACKMAN STREET , New York NY"
"258 ECKFORD STREET , New York NY"
"351 5 STREET , New York NY"
"33 SARATOGA AVENUE , New York NY"
"150 MALCOLM X BOULEVARD , New York NY"
"671 WILLOUGHBY AVENUE , New York NY"
"181 ATLANTIC AVENUE , New York NY"
"65 ECKFORD STREET , New York NY"
"248 5 AVENUE , New York NY"
"702 44 STREET , New York NY"
"2940 OCEAN PARKWAY , New York NY"
"77 SULLIVAN PLACE , New York NY"
"1229 EASTERN PARKWAY , New York NY"
"283 SOUTH    1 STREET , New York NY"
"285 SOUTH    1 STREET , New York NY"
"287 SOUTH    1 STREET , New York NY"
"289 SOUTH    1 STREET , New York NY"
"110 NEPTUNE AVENUE , New York NY"
"5 EAST   93 STREET , New York NY"
"577 SAINT MARKS AVENUE , New York NY"
"202 CALYER STREET , New York NY"
"801 AVENUE C , New York NY"
"123 MESEROLE AVENUE , New York NY"
"600 CROWN STREET , New York NY"
"874 BROADWAY , New York NY"
"4419 12 AVENUE , New York NY"
"200 EASTERN PARKWAY , New York NY"
"207 BUSHWICK AVENUE , New York NY"
"117 SOUTH    4 STREET , New York NY"
"169 CONGRESS STREET , New York NY"
"362 KNICKERBOCKER AVENUE , New York NY"
"75 KENT STREET , New York NY"
"1024 FULTON STREET , New York NY"
"687 BEDFORD AVENUE , New York NY"
"300 WYCKOFF AVENUE , New York NY"
"20 GRAND AVENUE , New York NY"
"611 EAST  103 STREET , New York NY"
"243 TROY AVENUE , New York NY"
"96 SCHERMERHORN STREET , New York NY"
"36 PIERREPONT STREET , New York NY"
"719 LINDEN BOULEVARD , New York NY"
"78 HARMAN STREET , New York NY"
"166 ECKFORD STREET , New York NY"
"1730 EAST   14 STREET , New York NY"
"450 EAST   34 STREET , New York NY"
"1250 OCEAN AVENUE , New York NY"
"994 4 AVENUE , New York NY"
"2839 BEDFORD AVENUE , New York NY"
"344 LORIMER STREET , New York NY"
"447 FENIMORE STREET , New York NY"
"652 DE KALB AVENUE , New York NY"
"621 EAST   21 STREET , New York NY"
"305 SMITH STREET , New York NY"
"2410 SURF AVENUE , New York NY"
"357 CHESTER STREET , New York NY"
"148 STUYVESANT AVENUE , New York NY"
"33 NORTH HENRY STREET , New York NY"
"104 FROST STREET , New York NY"
"975 LIBERTY AVENUE , New York NY"
"5808 18 AVENUE , New York NY"
"142 PIERREPONT STREET , New York NY"
"22 NORTH    6 STREET , New York NY"
"89 DEKALB AVENUE , New York NY"
"2730 WEST   33 STREET , New York NY"
"676 LORIMER STREET , New York NY"
"680 LORIMER STREET , New York NY"
"2065 ROCKAWAY PARKWAY , New York NY"
"28 PUTNAM AVENUE , New York NY"
"42 TIFFANY PLACE , New York NY"
"141 ALBANY AVENUE , New York NY"
"655 GREENE AVENUE , New York NY"
"1004 MONTGOMERY STREET , New York NY"
"1012 OCEAN AVENUE , New York NY"
"851 HEGEMAN AVENUE , New York NY"
"275 NORTH    6 STREET , New York NY"
"162 VERNON AVENUE , New York NY"
"164 VERNON AVENUE , New York NY"
"71 CARROLL STREET , New York NY"
"175 HICKS STREET , New York NY"
"1366 EAST NEW YORK AVENUE , New York NY"
"110 NEW YORK AVENUE , New York NY"
"885 FLATBUSH AVENUE , New York NY"
"236 SPENCER STREET , New York NY"
"41 FLATBUSH AVENUE , New York NY"
"416 EAST   17 STREET , New York NY"
"422 EAST   17 STREET , New York NY"
"1362 OCEAN AVENUE , New York NY"
"12 CROWN STREET , New York NY"
"325 BOND STREET , New York NY"
"32 BUSHWICK AVENUE , New York NY"
"702 HART STREET , New York NY"
"704 HART STREET , New York NY"
"81 NORTH PORTLAND AVENUE , New York NY"
"217 SOUTH    4 STREET , New York NY"
"61 MARTENSE STREET , New York NY"
"274 UNION STREET , New York NY"
"59 SOUTH    3 STREET , New York NY"
"190 YORK STREET , New York NY"
"770 OCEAN PARKWAY , New York NY"
"190 WITHERS STREET , New York NY"
"193 23 STREET , New York NY"
"143 9 STREET , New York NY"
"2400 EAST    3 STREET , New York NY"
"423 CLINTON AVENUE , New York NY"
"1052 WILLOUGHBY AVENUE , New York NY"
"394 LINCOLN PLACE , New York NY"
"95 ROCKWELL PLACE , New York NY"
"980 ATLANTIC AVENUE , New York NY"
"168 MARCY AVENUE , New York NY"
"668 BALTIC STREET , New York NY"
"204 CLERMONT AVENUE , New York NY"
"272 SOUTH    1 STREET , New York NY"
"193 KANE STREET , New York NY"
"121 DEKALB AVENUE , New York NY"
"2234 OCEAN AVENUE , New York NY"
"734 BERGEN STREET , New York NY"
"227 PUTNAM AVENUE , New York NY"
"329 HALSEY STREET , New York NY"
"372 12 STREET , New York NY"
"156 MARTENSE STREET , New York NY"
"158 MARTENSE STREET , New York NY"
"4802 10 AVENUE , New York NY"
"444 WINTHROP STREET , New York NY"
"814 ALBANY AVENUE , New York NY"
"144 PARKVILLE AVENUE , New York NY"
"28 MARINE AVENUE , New York NY"
"336 KNICKERBOCKER AVENUE , New York NY"
"180 SEVENTH AVENUE , New York NY"
"1020 EAST   92 STREET , New York NY"
"1220 SURF AVENUE , New York NY"
"347 LORIMER STREET , New York NY"
"408 LEFFERTS AVENUE , New York NY"
"1240 39 STREET , New York NY"
"63 STANHOPE STREET , New York NY"
"682 5 AVENUE , New York NY"
"6213 8 AVENUE , New York NY"
"1475 GENEVA LOOP , New York NY"
"1400 PENNSYLVANIA AVENUE , New York NY"
"1225 69 STREET , New York NY"
"554 EAST   26 STREET , New York NY"
"62 SEABRING STREET , New York NY"
"137 ST JOHNS PLACE , New York NY"
"360 LIVINGSTON STREET , New York NY"
"140 18 STREET , New York NY"
"1946 OCEAN AVENUE , New York NY"
"1365 WEST    7 STREET , New York NY"
"40 BRIGHTON    1 ROAD , New York NY"
"71 QUINCY STREET , New York NY"
"225 43 STREET , New York NY"
"555 EAST   96 STREET , New York NY"
"1042 PRESIDENT STREET , New York NY"
"221 5 AVENUE , New York NY"
"3030 EMMONS AVENUE , New York NY"
"8524 DITMAS AVENUE , New York NY"
"217 9 STREET , New York NY"
"2828 KINGS HIGHWAY , New York NY"
"331 SOUTH    4 STREET , New York NY"
"334 FURMAN STREET , New York NY"
"6701 BAY PARKWAY , New York NY"
"1057 EASTERN PARKWAY , New York NY"
"342 WALLABOUT STREET , New York NY"
"352 WALLABOUT STREET , New York NY"
"167 PLYMOUTH STREET , New York NY"
"525 NEPTUNE AVENUE , New York NY"
"2770 WEST    5 STREET , New York NY"
"80 DEKALB AVENUE , New York NY"
"566 HENRY STREET , New York NY"
"2177 60 STREET , New York NY"
"422 STATE STREET , New York NY"
"47 EAST   53 STREET , New York NY"
"155 AVENUE U , New York NY"
"403 GRAND AVENUE , New York NY"
"101 SOUTH    8 STREET , New York NY"
"2408 OCEAN AVENUE , New York NY"
"101 LAFAYETTE AVENUE , New York NY"
"105 SOUTH    8 STREET , New York NY"
"5801 15 AVENUE , New York NY"
"57 QUINCY STREET , New York NY"
"1035 WASHINGTON AVENUE , New York NY"
"1656 51 STREET , New York NY"
"8619 4 AVENUE , New York NY"
"63 BAY   22 STREET , New York NY"
"263 AVENUE U , New York NY"
"1191 BEDFORD AVENUE , New York NY"
"1201 PRESIDENT STREET , New York NY"
"38 LAFAYETTE AVENUE , New York NY"
"1887 MC DONALD AVENUE , New York NY"
"372 ST MARKS AVENUE , New York NY"
"2120 OCEAN AVENUE , New York NY"
"540 CRESCENT STREET , New York NY"
"50 JEFFERSON AVENUE , New York NY"
"107 SOUTH    4 STREET , New York NY"
"508A 16 STREET , New York NY"
"100 DIAMOND STREET , New York NY"
"415 DEGRAW STREET , New York NY"
"1298 NEW YORK AVENUE , New York NY"
"1296 NEW YORK AVENUE , New York NY"
"385 FLATBUSH AVENUE EXTENSION , New York NY"
"3410 FARRAGUT ROAD , New York NY"
"3408 FARRAGUT ROAD , New York NY"
"617 EAST  108 STREET , New York NY"
"123 TEN EYCK WALK , New York NY"
"567 EAST  108 STREET , New York NY"
"229 GRAHAM AVENUE , New York NY"
"9 BOND STREET , New York NY"
"560 WINTHROP STREET , New York NY"
"75 MC GUINNESS BOULEVARD , New York NY"
"1355 55 STREET , New York NY"
"1623 UTICA AVENUE , New York NY"
"510 16 STREET , New York NY"
"1 HUDSON AVENUE , New York NY"
"537 SACKETT STREET , New York NY"
"65 STANHOPE STREET , New York NY"
"613 CARROLL STREET , New York NY"
"210 PACIFIC STREET , New York NY"
"118 MADISON STREET , New York NY"
"183 SOUTH THIRD STREET , New York NY"
"207 OCEAN PARKWAY , New York NY"
"121 HART STREET , New York NY"
"9106 4 AVENUE , New York NY"
"535 OCEAN PARKWAY , New York NY"
"80 MANHATTAN AVENUE , New York NY"
"79 TEHAMA STREET , New York NY"
"50 PLAZA STREET EAST , New York NY"
"445 EAST    5 STREET , New York NY"
"200 HICKS STREET , New York NY"
"456 JOHNSON AVENUE , New York NY"
"1595 NEW YORK AVENUE , New York NY"
"6424 11 AVENUE , New York NY"
"605 LORIMER STREET , New York NY"
"144 NORTH    8 STREET , New York NY"
"1597 NEW YORK AVENUE , New York NY"
"345 AVENUE U , New York NY"
"232 ECKFORD STREET , New York NY"
"9425 SHORE ROAD , New York NY"
"322 EAST   32 STREET , New York NY"
"422 GLENMORE AVENUE , New York NY"
"2 WEST END AVENUE , New York NY"
"318 EAST   32 STREET , New York NY"
"68 COMMERCIAL STREET , New York NY"
"10104 4 AVENUE , New York NY"
"273 WILLOUGHBY AVENUE , New York NY"
"221 ROCKAWAY AVENUE , New York NY"
"185 PROSPECT PARK SOUTHWEST , New York NY"
"811 LEXINGTON AVENUE , New York NY"
"185 AINSLIE STREET , New York NY"
"279 82 STREET , New York NY"
"257 NORTH    7 STREET , New York NY"
"491 EVERGREEN AVENUE , New York NY"
"923 BROADWAY , New York NY"
"311 CENTRAL AVENUE , New York NY"
"5015 4 AVENUE , New York NY"
"236 WARREN STREET , New York NY"
"917 BROADWAY , New York NY"
"214 LINCOLN PLACE , New York NY"
"739 ROCKAWAY AVENUE , New York NY"
"3062 AVENUE V , New York NY"
"762 MACON STREET , New York NY"
"764 MACON STREET , New York NY"
"139 CLINTON AVENUE , New York NY"
"673 5 AVENUE , New York NY"
"300 ADELPHI STREET , New York NY"
"814 5 AVENUE , New York NY"
"105 ROGERS AVENUE , New York NY"
"242 SOUTH    1 STREET , New York NY"
"102 VANDERBILT STREET , New York NY"
"270 19 STREET , New York NY"
"1063 FULTON STREET , New York NY"
"121 ST JOHNS PLACE , New York NY"
"24 MIDDLETON STREET , New York NY"
"297 WALLABOUT STREET , New York NY"
"800 MANHATTAN AVENUE , New York NY"
"597 GRAND STREET , New York NY"
"2334 CONEY ISLAND AVENUE , New York NY"
"317 FRANKLIN AVENUE , New York NY"
"135 ELMIRA LOOP , New York NY"
"1460 PENNSYLVANIA AVENUE , New York NY"
"987 BEDFORD AVENUE , New York NY"
"348 GATES AVENUE , New York NY"
"1609 47 STREET , New York NY"
"4609 16 AVENUE , New York NY"
"384 KEAP STREET , New York NY"
"232 BEDFORD AVENUE , New York NY"
"1 BROOKDALE PLAZA , New York NY"
"10001 FLATLANDS AVENUE , New York NY"
"223 GREENE AVENUE , New York NY"
"662 PACIFIC STREET , New York NY"
"1818 OCEAN AVENUE , New York NY"
"4011 FILLMORE AVENUE , New York NY"
"237 NASSAU STREET , New York NY"
"1500 EAST   92 STREET , New York NY"
"452 BERRY STREET , New York NY"
"233 SANDS STREET , New York NY"
"1000 LORIMER STREET , New York NY"
"533 CLINTON STREET , New York NY"
"535 CLINTON STREET , New York NY"
"54 MACDONOUGH STREET , New York NY"
"109 SOUTH    5 STREET , New York NY"
"1065 FULTON STREET , New York NY"
"258 ROCKAWAY AVENUE , New York NY"
"165 PARK PLACE , New York NY"
"260 ROCKAWAY AVENUE , New York NY"
"158 SOMERS STREET , New York NY"
"2529 GERRITSEN AVENUE , New York NY"
"249 9 STREET , New York NY"
"537 CLINTON STREET , New York NY"
"265 DECATUR STREET , New York NY"
"190 YORK STREET , New York NY"
"2770 ATLANTIC AVENUE , New York NY"
"1006 GREENE AVENUE , New York NY"
"321 FRANKLIN AVENUE , New York NY"
"882 3 AVENUE , New York NY"
"12 BROOME STREET , New York NY"
"181 A VERNON AVENUE , New York NY"
"540 FULTON STREET , New York NY"
"84 CONGRESS STREET , New York NY"
"100 MONITOR STREET , New York NY"
"25 LAWTON STREET , New York NY"
"1038 JEFFERSON AVENUE , New York NY"
"392 WAVERLY AVENUE , New York NY"
"197 DEKALB AVENUE , New York NY"
"557 5 STREET , New York NY"
"111 BRIDGE STREET , New York NY"
"224 BRIGHTON BEACH AVENUE , New York NY"
"688 6 AVENUE , New York NY"
"596 BALTIC STREET , New York NY"
"1630 PITKIN AVENUE , New York NY"
"367 TOMPKINS AVENUE , New York NY"
"345 ADAMS STREET , New York NY"
"833 MAPLE STREET , New York NY"
"1665 BROOKLYN AVENUE , New York NY"
"430 CLINTON STREET , New York NY"
"837 MAPLE STREET , New York NY"
"1256 OCEAN AVENUE , New York NY"
"1374 MYRTLE AVENUE , New York NY"
"2915 WEST    5 STREET , New York NY"
"285 DE KALB AVENUE , New York NY"
"393 SOUTH    3 STREET , New York NY"
"1958 FULTON STREET , New York NY"
"408 SOUTH    2 STREET , New York NY"
"1315 54 STREET , New York NY"
"338 DEVOE STREET , New York NY"
"4305 7 AVENUE , New York NY"
"1662 45 STREET , New York NY"
"285 SMITH STREET , New York NY"
"328 9 STREET , New York NY"
"625 FULTON STREET , New York NY"
"460 REAR HAMILTON AVENUE , New York NY"
"502 FLUSHING AVENUE , New York NY"
"322 WALLABOUT STREET , New York NY"
"66 LIVINGSTON STREET , New York NY"
"330 WALLABOUT STREET , New York NY"
"1569 FLATBUSH AVENUE , New York NY"
"5012 20 AVENUE , New York NY"
"54 SOUTH ELLIOTT PLACE , New York NY"
"1244 NEW YORK AVENUE , New York NY"
"1 ELTON STREET , New York NY"
"770 PUTNAM AVENUE , New York NY"
"2036 58 STREET , New York NY"
"5226 NEW UTRECHT AVENUE , New York NY"
"88 THROOP AVENUE , New York NY"
"127 MESEROLE STREET , New York NY"
"129 MESEROLE STREET , New York NY"
"208 SOUTH    1 STREET , New York NY"
"204 SOUTH    1 STREET , New York NY"
"2242 BRAGG STREET , New York NY"
"213 SMITH STREET , New York NY"
"643 5 AVENUE , New York NY"
"295 SMITH STREET , New York NY"
"920 UNION STREET , New York NY"
"53 NORTH    6 STREET , New York NY"
"265 LOGAN STREET , New York NY"
"827 59 STREET , New York NY"
"40 BRIGHTON    1 ROAD , New York NY"
"920 MONTGOMERY STREET , New York NY"
"629 LORIMER STREET , New York NY"
"333 14 STREET , New York NY"
"575 HERKIMER STREET , New York NY"
"183 DEVOE STREET , New York NY"
"108 VANDERBILT AVENUE , New York NY"
"467 HENRY STREET , New York NY"
"1134 GREENE AVENUE , New York NY"
"1008 BANNER AVENUE , New York NY"
"3916 14 AVENUE , New York NY"
"1293 BUSHWICK AVENUE , New York NY"
"2181 PITKIN AVENUE , New York NY"
"2155 PITKIN AVENUE , New York NY"
"2165 PITKIN AVENUE , New York NY"
"80 20 STREET , New York NY"
"311 DEGRAW STREET , New York NY"
"8800 BAY PARKWAY , New York NY"
"282 EAST   35 STREET , New York NY"
"55 WASHINGTON STREET , New York NY"
"149 NEW JERSEY AVENUE , New York NY"
"303 POWELL STREET , New York NY"
"444 HUMBOLDT STREET , New York NY"
"6502 18 AVENUE , New York NY"
"270 STANLEY AVENUE , New York NY"
"330 CROWN STREET , New York NY"
"46 GARDEN PLACE , New York NY"
"483 HICKS STREET , New York NY"
"1254 UNION STREET , New York NY"
"1207 ROGERS AVENUE , New York NY"
"193 7 STREET , New York NY"
"201 7 STREET , New York NY"
"108 NORTH    6 STREET , New York NY"
"623 53 STREET , New York NY"
"287 BLAKE AVENUE , New York NY"
"333 BLAKE AVENUE , New York NY"
"512 MOTHER GASTON BOULEVARD , New York NY"
"558 FULTON STREET , New York NY"
"3216 GLENWOOD ROAD , New York NY"
"11 OCEAN PARKWAY , New York NY"
"3918 14 AVENUE , New York NY"
"1068 62 STREET , New York NY"
"826 59 STREET , New York NY"
"210 COLUMBIA STREET , New York NY"
"72 RYERSON STREET , New York NY"
"171 BAY   17 STREET , New York NY"
"109 TROUTMAN STREET , New York NY"
"6722 20 AVENUE , New York NY"
"85 SOUTH OXFORD STREET , New York NY"
"613 MADISON STREET , New York NY"
"96 WYTHE AVENUE , New York NY"
"2715 FULTON STREET , New York NY"
"2741 ATLANTIC AVENUE , New York NY"
"510 CHAUNCEY STREET , New York NY"
"89 THROOP AVENUE , New York NY"
"76 NORTH    4 STREET , New York NY"
"1020 ROGERS AVENUE , New York NY"
"1947 OCEAN AVENUE , New York NY"
"251 OSBORN STREET , New York NY"
"272 SCHENECTADY AVENUE , New York NY"
"909 EAST   29 STREET , New York NY"
"237 PACIFIC STREET , New York NY"
"7401 4 AVENUE , New York NY"
"185 SOUTH    4 STREET , New York NY"
"517 STAGG STREET , New York NY"
"4622 FORT HAMILTON PARKWAY , New York NY"
"2380 DEAN STREET , New York NY"
"9008 3 AVENUE , New York NY"
"43 MCGUINNESS BOULEVARD , New York NY"
"201 25 STREET , New York NY"
"722 COURT STREET , New York NY"
"92 NORMAN AVENUE , New York NY"
"25 BRIGHTON    4 ROAD , New York NY"
"1222 PUTNAM AVENUE , New York NY"
"165 DEKALB AVENUE , New York NY"
"1237 53 STREET , New York NY"
"2002 CHURCH AVENUE , New York NY"
"346 KENT AVENUE , New York NY"
"166 MARTENSE STREET , New York NY"
"825 4 AVENUE , New York NY"
"175 HAWTHORNE STREET , New York NY"
"140 32 STREET , New York NY"
"775 LAFAYETTE AVENUE , New York NY"
"611 53 STREET , New York NY"
"6905 18 AVENUE , New York NY"
"154 ENGERT AVENUE , New York NY"
"653 UNION STREET , New York NY"
"29 CLAY STREET , New York NY"
"134 SECOND PLACE , New York NY"
"62 BROOKLYN AVENUE , New York NY"
"125 EAST   18 STREET , New York NY"
"315 SUMPTER STREET , New York NY"
"481 5 AVENUE , New York NY"
"630 GRAND STREET , New York NY"
"159 BOERUM STREET , New York NY"
"212 SKILLMAN STREET , New York NY"
"379 WASHINGTON AVENUE , New York NY"
"205 COURT STREET , New York NY"
"511 41 STREET , New York NY"
"590 PARKSIDE AVENUE , New York NY"
"326 ROCKAWAY AVENUE , New York NY"
"108 SAINT EDWARDS STREET , New York NY"
"650 HART STREET , New York NY"
"352 EAST    5 STREET , New York NY"
"156 SOMERS STREET , New York NY"
"51 ASH STREET , New York NY"
"1 WELDING ROAD , New York NY"
"314 RUTLEDGE STREET , New York NY"
"385 HENRY STREET , New York NY"
"145 WOLCOTT STREET , New York NY"
"464 CONEY ISLAND AVENUE , New York NY"
"277 WASHINGTON AVENUE , New York NY"
"1726 MERMAID AVENUE , New York NY"
"1 SIDNEY PLACE , New York NY"
"25 OLIVER STREET , New York NY"
"60 CEDAR STREET , New York NY"
"1720 EAST   13 STREET , New York NY"
"2238 86 STREET , New York NY"
"327 43 STREET , New York NY"
"39 HAMPTON PLACE , New York NY"
"1634 FLATBUSH AVENUE , New York NY"
"2310 CORTELYOU ROAD , New York NY"
"604 EAST   40 STREET , New York NY"
"1845 PITKIN AVENUE , New York NY"
"163 REMSEN STREET , New York NY"
"50 VARET STREET , New York NY"
"163 OCEAN AVENUE , New York NY"
"28 BOERUM STREET , New York NY"
"897 FLATBUSH AVENUE , New York NY"
"433 ST MARKS AVENUE , New York NY"
"162 EAST   52 STREET , New York NY"
